Id,Name,BrandId,Description,Image
14,Master Ultra Thin,4,"Jaeger-LeCoultre’s Master Ultra Thin collection epitomizes the art of refined simplicity and mechanical virtuosity. These ultra-slim timepieces showcase the maison’s mastery in crafting high-performance movements within elegant, wafer-thin cases. Each watch in the line exudes understated sophistication: clean dials with fine details, slender hands and markers, and proportions that slip effortlessly under a cuff. Despite their slim profile, Master Ultra Thin models often harbor impressive complications – from moon phases to perpetual calendars – a testament to JLC’s technical prowess in miniaturization. The collection’s aesthetic is timeless and reserved, reflecting Jaeger-LeCoultre’s ethos that true elegance is found in the perfect balance of form, function, and fine craftsmanship.",jaegerlecoultre.png
15,Polaris,4,"The Polaris collection channels Jaeger-LeCoultre’s spirit of adventure, blending vintage inspiration with modern sporty elegance. Launched as a contemporary tribute to the 1968 Memovox Polaris (a famed diver’s alarm watch), this line captures the retro-cool charm of the original while meeting today’s expectations for versatility and performance. Polaris watches feature bold, easily readable dials often with a mix of finishing textures, and sturdy cases with high water resistance – all designed for an active lifestyle. Whether a simple automatic, a chronograph, or an alarm model, each Polaris exudes a refined yet rugged appeal. It’s a sophisticated, everyday sports watch family that embodies Jaeger-LeCoultre’s balance of technical heritage and sleek design for the modern explorer.",jaegerlecoultre.png
16,Duomètre,4,"The Duomètre collection is a showcase of Jaeger-LeCoultre’s inventive watchmaking, built around the revolutionary “Dual-Wing” concept. Unveiled in 2007, this approach uses two independent mechanisms (each with its own power source) within one watch, both regulated by a single escapement. One gear train is dedicated solely to timekeeping and the other to an added function (such as a chronograph or moonphase), ensuring that using complications does not disturb the watch’s precision. This novel architecture yields exceptional accuracy even in complex watches. Duomètre models are also visually distinctive – often featuring symmetrical dial layouts that display the twin mechanisms’ indications. Blending technical genius with classic elegance, the Duomètre series underscores Jaeger-LeCoultre’s reputation as the “watchmaker’s watchmaker,” solving age-old horological challenges with elegance.",jaegerlecoultre.png
17,Lange 1,5,"The Lange 1 is A. Lange & Söhne’s modern classic and the watch that announced the brand’s 1994 rebirth to the world. Instantly recognizable for its asymmetrical yet perfectly balanced dial, the Lange 1 features an off-center time display, a large double-window (outsized) date, and a power reserve indicator – a layout that broke convention but became an icon of refined design. Every element is crafted to the highest standard: from the crisp silvered dial and blued-steel hands to the impeccable in-house movement visible through the back, adorned with Glashütte stripes and an engraved balance cock. The Lange 1 embodies Saxon tradition married to fresh innovation, symbolizing the brand’s philosophy of uncompromising craftsmanship and elegant precision.",alangesohne.png
18,Zeitwerk,5,"The Zeitwerk is A. Lange & Söhne’s groundbreaking take on the digital display – executed purely mechanically. Introduced in 2009, the Zeitwerk was the first watch to present hours and minutes as large jumping numerals on a dial, using a complex system of disks and a patented constant-force mechanism. Each minute and hour “jumps” instantaneously in perfect synchronization, a feat that requires tremendous energy precisely metered by a remontoir (constant-force escapement) for accuracy. Despite its avant-garde concept, the Zeitwerk is unmistakably Lange in quality: a substantial precious metal case, superb hand-finishing on the movement, and a distinctive dial design that artfully balances its digital windows with a small seconds and power reserve indicator. Innovative and bold, the Zeitwerk embodies Lange’s drive to push horology forward while honoring traditional craftsmanship.",alangesohne.png
19,Datograph,5,"The Datograph is A. Lange & Söhne’s legendary high-complication chronograph, lauded by many as one of the finest chronographs ever made. Its very name fuses “datum” (date) and “chronograph,” reflecting its signature combination of an outsized date display and chronograph function. Introduced in 1999, the Datograph set a new benchmark with its sophisticated column-wheel movement, flyback chronograph capability, and precisely jumping minute counter – all engineered and finished to Lange’s exacting standards. The dial layout is impeccably balanced: two sub-dials for chronograph seconds and minutes, with the hallmark big date at 12 o’clock, giving it a distinct, harmonious face. On the reverse, the view of the hand-wound movement reveals a breathtaking architecture of German silver bridges, blued screws, and hand-engraved details. The Datograph embodies the perfect blend of technical prowess, aesthetic beauty, and Teutonic craftsmanship that defines the Lange approach to watchmaking.",alangesohne.png
20,Saxonia,5,"The Saxonia collection is A. Lange & Söhne’s ode to elegant simplicity and the brand’s Saxon roots. Named after the German state of Saxony (the cradle of Lange’s watchmaking heritage), the Saxonia line emphasizes clean, harmonious design and precision craftsmanship. These timepieces are often characterized by their pure dials, fine baton hour markers, and balanced symmetry – eschewing unnecessary adornment for a look of understated luxury. Whether in its simplest two-hand, ultra-thin form or housing complications like moonphases or annual calendars, each Saxonia model upholds the same standards of immaculate finishing and technical excellence. The result is a versatile dress watch that exudes quiet confidence, showcasing Lange’s dedication to tradition, clarity, and mechanical perfection.",alangesohne.png
21,Senator,6,"The Senator collection represents Glashütte Original’s dedication to classic German elegance and precision. These watches are characterized by their timeless, refined designs – think clean dials with traditional Roman numerals or applied markers, slender leaf hands, and often the brand’s signature Panorama Date display. Marrying form and function, Senator models range from simple automatic dress pieces to complex masterpieces like chronometers, perpetual calendars, or tourbillons, yet all share an understated sophistication. Each Senator timepiece showcases the finest in Saxon engineering: in-house movements with superb finishing (such as striped three-quarter plates and blued screws) and robust construction. The result is a collection that embodies the art of German watchmaking, offering mechanical excellence wrapped in enduring, graceful style.",glashutteoriginal.png
22,PanoMatic,6,"The PanoMatic series (part of Glashütte Original’s Pano collection) is defined by its distinctive off-center dial aesthetics and sophisticated complications. These watches immediately catch the eye with their asymmetrical layout: the main time dial is typically placed to the left, while complementary displays (such as small seconds, moon phase, or power reserve) and the hallmark Panorama Date are arranged to the right. This unconventional design creates a harmonious balance that has become a signature of the brand. Beyond the visuals, the PanoMatic pieces boast in-house calibers and refined mechanics – often showcasing Glashütte Original’s technical prowess, like clever moonphase mechanisms or skeletonized components in models like the PanoInverse. Marrying modern German style with horological substance, the PanoMatic collection offers a bold, elegant twist on tradition.",glashutteoriginal.png
23,SeaQ,6,"The SeaQ is Glashütte Original’s modern dive watch with a proud historical lineage. Part of the Spezialist collection, it draws direct inspiration from the company’s first diver’s watch, the Spezimatic “Typ RP TS 200” of 1969. The SeaQ faithfully echoes that vintage design with its bold Arabic numerals, highly legible hands, and unidirectional rotating bezel – all while integrating contemporary engineering for serious underwater performance. Crafted in stainless steel and water-resistant to 20 bar (200 meters), it meets rigorous dive watch standards without sacrificing style. Inside beats a robust in-house automatic movement, ensuring reliability whether on daily adventures or beneath the waves. The SeaQ combines retro charm with German precision, celebrating Glashütte’s heritage in a sporty, adventure-ready timepiece.",glashutteoriginal.png
24,Spezialist,6,"The Spezialist collection is Glashütte Original’s domain of high-performance sports watches, engineered for durability and precision in the most demanding conditions. True to its name, each model in this line is a specialist in reliability – whether under water or on land. These timepieces feature robust construction, enhanced water resistance, and clear legibility, reflecting their tool-watch heritage. The flagship SeaQ divers, for example, blend vintage inspiration with modern technology to ensure confidence during exploration. Yet even with their utilitarian focus, Spezialist watches uphold the Saxon manufacture’s commitment to quality, boasting in-house movements and fine German craftsmanship. This collection extends Glashütte Original’s legacy into the realm of adventure, proving that practical functionality and luxury watchmaking can go hand in hand.",glashutteoriginal.png
25,Chronomètre Souverain,7,"F.P. Journe’s Chronomètre Souverain is a masterclass in precision and classic elegance. Inspired by 19th-century marine chronometers, this timepiece is designed for exceptional timekeeping stability. It features a beautifully finished hand-wound movement (crafted in 18k rose gold, as is Journe’s signature) with twin mainspring barrels working in parallel to deliver consistent power for much of its 50-plus-hour reserve. The result is remarkable accuracy and a smooth, steady heartbeat. On the dial side, the Chronomètre Souverain presents a pure and balanced face – typically with off-center hours and minutes, a small seconds subdial, and a power reserve indicator – all arranged with understated sophistication. Its slim case and timeless styling make it as much an aesthetic triumph as a technical one. Emblazoned with F.P. Journe’s motto “Invenit et Fecit” (Invented and Made), the Chronomètre Souverain encapsulates the brand’s devotion to traditional chronometry fused with artisanal craftsmanship.",fpjourne.png
26,Octa,7,"The Octa collection is built around F.P. Journe’s groundbreaking automatic movement, which offers extended autonomy without compromising elegance. Introduced in the early 2000s, the Octa caliber was the first automatic movement to provide a chronometric power reserve of around five days (120 hours) – a feat unheard of at the time. “Octa” (Latin for “eight”) alludes to its creator’s goal of approaching a week-long running time, illustrating Journe’s innovative spirit. Octa models come in various guises – from the Octa Réserve de Marche (power reserve and big date) to the Octa Lune (moonphase) and more – all sharing the same thin, 18k rose gold rotor movement at their heart. Despite their complications and long-running gear train, these watches maintain a slim, refined profile. Finely decorated and stamped with “Invenit et Fecit” (Invented and Made), the Octa line exemplifies F.P. Journe’s knack for blending practical convenience (long power reserve, automatic winding) with uncompromising haute horlogerie craftsmanship.",fpjourne.png
27,Tourbillon Souverain,7,"The Tourbillon Souverain is F.P. Journe’s defining masterpiece, uniting historical horology with modern innovation. Introduced in 1999 as the brand’s inaugural model, it was the first wristwatch tourbillon to incorporate a remontoir d’égalité (constant-force mechanism) and dead-beat seconds – a technical combination that ensures steady power delivery and precise, jump-by-second timekeeping. By marrying Abraham-Louis Breguet’s legendary tourbillon invention with Journe’s own ingenious complications, the Tourbillon Souverain achieves exceptional accuracy and a mesmerizing visual performance on the dial. Its architecture is characteristically Journe: off-centered displays with the tourbillon mechanism proudly showcased, all within an elegantly proportioned case. Crafted with precious metals (including Journe’s signature rose gold movement) and finished to the highest standards, this watch epitomizes the ethos “Invenit et Fecit.” The Tourbillon Souverain stands as a beacon of haute horlogerie, symbolizing François-Paul Journe’s relentless pursuit of technical excellence and artistry.",fpjourne.png
28,Double Tourbillon 30°,8,"The Double Tourbillon 30° is Greubel Forsey’s first groundbreaking invention, embodying the brand’s relentless quest for chronometric precision and three-dimensional mechanical art. Introduced in 2004, it features a tourbillon within a tourbillon: an inner carriage inclined at 30° that completes a rotation every minute, housed inside a second tourbillon cage that rotates once every four minutes. This ingenious configuration averages out gravitational errors in multiple positions, significantly improving timekeeping stability. Beyond its technical prowess, the Double Tourbillon 30° is a visual spectacle – the multi-axis tourbillon mechanism is prominently showcased on the dial, framed by Greubel Forsey’s signature finishing like black polishing, sharp anglages, and deeply engraved text that articulates their watchmaking philosophy. This creation firmly established Greubel Forsey’s reputation for pushing the limits of complication and craftsmanship, delivering a timepiece that is both an engineering marvel and a sculpture for the wrist.",greubelforsey.png
29,Tourbillon 24 Secondes,8,"Greubel Forsey’s Tourbillon 24 Secondes showcases a different approach to conquering gravity’s effects. Rather than multiple tourbillon cages, this invention employs a single fast-rotating tourbillon cage inclined at 25° that makes a full revolution in just 24 seconds – much quicker than the traditional one-minute rotation. This high angular velocity, combined with the inclined axis, enables the mechanism to average out positional errors extremely efficiently, boosting chronometric performance. The Tourbillon 24 Secondes is a demonstration of Greubel Forsey’s creativity in movement architecture: the lightning-fast tourbillon is often set in a dramatic cutaway, visible from multiple angles under a sapphire dome or within an open dial design. As always, the finishing is peerless, and the watch integrates this technical wonder into an aesthetic of depth and transparency. The result is a remarkable blend of cutting-edge physics and artisanal finishing, underscoring the brand’s motto of “Art of Invention” on the wrist.",greubelforsey.png
30,Balancier Convexe,8,"The Balancier Convexe collection represents Greubel Forsey’s exploration of dynamic balance wheel display within a contemporary, more wearable format. “Balancier” refers to the large balance wheel – the heart of the watch – which is the star of the show, often dramatically angled or prominently elevated within the movement. “Convexe” denotes the sleek, curved case profile that improves ergonomics on the wrist while providing a panoramic view of the complex interior. These watches strip away traditional dials to reveal an architectural, multi-level construction highlighting the oscillating balance (sometimes even multiple balances in certain models) and the intricate finishing of bridges and gears. Despite a sportier, modern aesthetic, the Balancier Convexe pieces sacrifice none of Greubel Forsey’s impeccable craftsmanship: expect black-polished steel parts, finely grained plates, and hand-finished bevels throughout. Marrying cutting-edge design with the brand’s horological innovations, the Balancier Convexe series brings Greubel Forsey’s artistry and technical prowess into a bold new visual realm.",greubelforsey.png
31,QP à Équation,8,"The QP à Équation is Greubel Forsey’s answer to the ultimate calendar watch – a perpetual calendar merged with an equation of time complication, executed in signature Greubel Forsey style. Despite its complexity (it even includes an inclined tourbillon), this timepiece is lauded for its innovative, user-friendly displays and adjustments. The perpetual calendar indications (day, date, month, leap year) are ingeniously arranged on the dial for clarity, using creative discs and subdials, while the equation of time – showing the difference between solar and mean time – is calculated via a mechanical “computer” visible on the back of the movement. In typical Greubel Forsey fashion, the QP à Équation is finished to an uncompromising standard and built with a multi-layered, architectural aesthetic. It stands as a testament to the brand’s ability to redefine traditional grand complications, yielding an ultra-complex watch that remains surprisingly intuitive to read and a joy to behold.",greubelforsey.png
32,Submariner,9,"The Rolex Submariner is the definitive dive watch – a timepiece that has set the standard for underwater durability and iconic design since its debut in 1953. As one of the first watches water-resistant to 100 meters (and now rated to 300m), the Submariner was purpose-built for scuba divers, featuring a rotatable 60-minute timing bezel, bold luminous markers for legibility in the deep, and Rolex’s patented Oyster case to guard against the elements. Its clean black dial (in classic iterations) and robust steel construction have an enduring, functional elegance that transcends its tool-watch origins – equally at home on an ocean expedition or paired with a tuxedo. Over the decades, subtle refinements have enhanced its movement and materials, but the Submariner’s essential look and reliability remain unchanged. It stands today not just as a cornerstone of Rolex’s lineup, but as one of the most recognized and sought-after sports watches in the world.",rolex.png
33,Daytona,9,"The Rolex Cosmograph Daytona is an iconic racing chronograph born from the world of high-speed motorsport. Introduced in 1963 and named after the famous Daytona International Speedway, it was designed to meet the needs of professional race car drivers – combining a stopwatch function (chronograph) with a tachymeter scale on the bezel for measuring average speeds. Over the decades, the Daytona has evolved into a cultural legend, fueled in part by its association with actor and racing enthusiast Paul Newman, who famously wore one. Today’s Daytona features Rolex’s state-of-the-art automatic movement for superb precision and reliability, encased in the robust Oyster case for protection. Its trio of subdials and bold contrast dial designs (often in black-and-white “panda” or other striking combinations) make it instantly recognizable. Whether timing laps at the track or serving as a status symbol off the circuit, the Daytona stands as a triumphant blend of technical performance and enduring style in the Rolex pantheon.",rolex.png
34,Datejust,9,"The Rolex Datejust is the quintessential luxury wristwatch for everyday wear, celebrated for its timeless style and pioneering features. Launched in 1945, it made history as the first self-winding chronometer wristwatch to display the date in a window on the dial, automatically changing “just in time” at midnight – hence the name Datejust. Its design is instantly classic: a sleek Oyster case (often in 36mm historically), a clear date aperture at 3 o’clock magnified by the Cyclops lens (introduced later), and options like a fluted bezel and Jubilee bracelet that have become signature elements. The Datejust’s versatility is unmatched; it’s water-resistant, durable, and available in a variety of metals, dial colors, and sizes to suit any style. Equally appropriate in the boardroom or at a casual weekend outing, the Datejust epitomizes Rolex’s blend of precision, prestige, and understated elegance – a true icon that transcends trends.",rolex.png
35,GMT-Master II,9,"The Rolex GMT-Master II is the ultimate jetsetter’s watch, capable of tracking multiple time zones at a glance and built with the ruggedness expected of a Rolex tool watch. Originally developed in the 1950s for Pan Am pilots, the GMT-Master introduced a fourth hand (GMT hand) and a 24-hour graduated rotating bezel so aviators could read home and local times simultaneously. The modern GMT-Master II refines this concept, allowing the hour hand to be set independently – even enabling monitoring of a third time zone temporarily. Its two-tone bezel designs (like the famous red-and-blue “Pepsi” or black-and-blue “Batman”) are instantly recognizable and have become style icons in their own right. With a robust Oyster case, reliable automatic movement, and excellent legibility, the GMT-Master II is as practical crossing oceans as it is striking on the wrist. It remains the go-to symbol of functional luxury for travelers worldwide.",rolex.png
36,Day-Date,9,"The Rolex Day-Date stands at the pinnacle of the brand’s classic collection, synonymous with prestige and often affectionately called the “Presidential” watch. Introduced in 1956, it was the first wristwatch to display both the date and the day of the week spelled out in full – an innovation that quickly became a symbol of sophistication. The Day-Date is crafted exclusively in precious metals (18k gold or platinum), underscoring its status as an elite timepiece. Its design hallmarks include the iconic President bracelet (with semi-circular links for a seamless, elegant drape), a fluted bezel on many models, and of course the duo of calendar windows (day at 12 o’clock and date at 3, magnified by a Cyclops lens). Worn by world leaders, captains of industry, and discerning collectors, the Day-Date conveys an aura of success and refinement. It embodies Rolex’s commitment to technical excellence while making a confident statement of luxury and leadership.",rolex.png
37,Classique,10,"Breguet’s Classique collection embodies the purest traditions of Abraham-Louis Breguet’s timeless design and watchmaking art. These watches are characterized by their elegant restraint and hallmark Breguet details: think exquisitely engine-turned (guilloché) dials in precious metals, slim round cases with fluted casebands (coin-edge pattern), blued steel “Breguet” hands with their distinctive crescent tips, and crisp Roman (or Arabic) numerals. The Classique models often feature ultra-thin movements and complications executed with refined simplicity – from classic time-only pieces to moonphases, retrograde indicators or tourbillons (a Breguet invention). Every element is finished to perfection, honoring the brand’s 18th-century legacy while incorporating modern precision. Wearing a Breguet Classique is akin to wearing a piece of horological history: it radiates an air of understated luxury, technical mastery, and the enduring elegance that the name Breguet has represented for over two centuries.",breguet.png
38,Marine,10,"The Marine collection brings Breguet’s centuries-old heritage to the high seas, blending classic elegance with a sportier, modern twist. Named in honor of Abraham-Louis Breguet’s role as official watchmaker to the French Royal Navy, Marine watches reimagine Breguet’s design codes for an active lifestyle. They feature robust cases (often in steel or titanium in addition to gold), enhanced water resistance, and sporty refinements like screw-down crowns and crown guards – all while retaining unmistakable Breguet touches. On many Marine dials, traditional engine-turning gives way to wave-inspired motifs, and Roman numerals or luminescent indexes ensure clear reading. The signature Breguet hands remain, slightly bolder, and the fluted caseband is present, albeit executed in a more rugged fashion. Whether a simple automatic or a high complication, each model marries precision and durability with Breguet’s refined craftsmanship. The Marine line navigates seamlessly between the deck of a yacht and a formal dinner, capturing the spirit of maritime adventure with luxurious flair.",breguet.png
39,Tradition,10,"The Breguet Tradition collection offers a bold homage to the brand’s origins. Inspired by A.-L. Breguet’s late 18th-century souscription (subscription) and tact watches, these timepieces expose their mechanical soul on the dial side. Tradition models typically feature a central mainspring barrel, an off-center time dial (often at 12 o’clock), and the balance wheel and gear train fully showcased atop the movement plate. This reversed movement layout lets the wearer appreciate the interplay of wheels, bridges, and Breguet’s pare-chute shock absorber much like viewing an antique Breguet pocket watch’s mechanism. Despite their historic muse, Tradition pieces are thoroughly contemporary in build and performance, incorporating modern calibers (with silicon components) alongside exquisite hand-finishing. The aesthetic juxtaposes antiqued finishes (frosted plates, etc.) with cutting-edge horology, yielding a design that is equal parts archival tribute and modern marvel. In the Tradition collection, Breguet lays its legacy bare – merging past and present in a captivating way.",breguet.png
40,Reine de Naples,10,"The Reine de Naples collection by Breguet is a celebration of feminine elegance and historical significance. Its name (“Queen of Naples”) honors one of the earliest known wristwatches, which A.-L. Breguet created in 1812 for Caroline Murat, the Queen of Naples. Today’s Reine de Naples timepieces echo that legacy with their distinctive oval-shaped case – a graceful, elongated form that sets them apart. These watches are unabashedly luxurious and refined: dials of mother-of-pearl or hand-guilloché gold, often accented with delicate moonphase displays or romantic complications; bezels and accessories frequently adorned with brilliant-cut diamonds; and the signature Breguet touches like blued pomme hands and fine fluted casebands. Designed exclusively for women, each model houses a self-winding mechanical movement, marrying serious watchmaking with jewelry artistry. The Reine de Naples watches sit like exquisite jewels on the wrist, embodying the blend of innovation, craftsmanship, and glamour that has long defined Breguet’s approach to ladies’ watchmaking.",breguet.png
41,Fifty Fathoms,11,"The Blancpain Fifty Fathoms is a legend in the dive watch world, widely regarded as the first modern diving wristwatch. Unveiled in 1953, it was conceived by a French Navy combat diver and Blancpain’s CEO to meet rigorous underwater requirements. The name “Fifty Fathoms” reflects its original guaranteed water resistance of 50 fathoms (about 91 meters) – unprecedented at the time. This watch introduced features now standard in dive watches: a rotatable timing bezel that turns only one way (for safety), bold luminous markings for visibility in deep water, a double-sealed crown, and antimagnetic protection. Today’s Fifty Fathoms collection upholds that legacy with contemporary technology (robust in-house automatic movements, greater water resistance) while retaining hallmark design cues like the large, easy-to-read dial with luminous numerals. Blending historical significance, utilitarian excellence, and Blancpain’s fine finishing, the Fifty Fathoms remains an icon of ocean exploration – truly the watch that defined the genre.",blancpain.png
