Id,Name,BrandId,CollectionId,CurrentPrice,Description,Specs,Image,AdditionalImages
11,5303R Minute Repeater Tourbillon,1,4,"970,000","The 5303R is Patek Philippe’s boldest expression of mechanical artistry, combining a minute repeater and visible tourbillon in a fully openworked dial. Launched in 2020, it’s the first Patek repeater to display its striking mechanism on the dial side—letting wearers admire the chiming hammers and rotating tourbillon in real time. Its rose and white gold hybrid case adds dynamic contrast, while the hollowed lugs and engraved caseband elevate its sculptural presence. Built in extremely limited numbers and rarely seen publicly, it offers a rare glimpse into the maison’s inner workings. Both an acoustic marvel and a visual spectacle, the 5303R departs from the brand’s usual restraint, celebrating transparency, innovation, and high horology with unapologetic flair. A true collector’s piece that pushes tradition forward without losing its soul.","Movement: Manual Patek Caliber R TO 27 PS (tourbillon, minute repeater, ~40h); Case: 42 mm rose gold & white gold hybrid, hollowed lugs; Dial: Skeleton-style, showcasing hammers and tourbillon; Strap: Black alligator; Other: Slide lever for repeater, engraved caseband",PP5303R.png,
12,5270J,1,4,"234,000","The 5270J is a connoisseur’s favorite, blending perpetual calendar and chronograph into a timeless 18k yellow gold case. Part of a legendary lineage that began in the mid-20th century, this model continues Patek's tradition of mechanical poetry and functional clarity. Its opaline dial balances the complex displays with classic grace. Whether on the wrist or under a loupe, it reveals a depth of character that defines grand complication at its most elegant.","Movement: Manual Patek Caliber CH 29‑535 PS Q (perpetual calendar, column-wheel chronograph; 65h); Case: 41 mm 18k yellow gold; Dial: Opaline white, day/month windows, date and moonphase at 6, 30-min and seconds subdials; Strap: Brown alligator; Other: Leap year & day/night indicators",PP5270.png,
13,43175 Perpetual Calendar,2,5,"240,000","The 43175 is a celebration of minimalist haute horlogerie. With its ultra-thin automatic movement and refined perpetual calendar layout, it distills elegance into every detail. The opaline dial, baton markers, and polished gold case make it a study in balanced design. Though technically complex, it whispers rather than shouts—a piece for those who recognize true craftsmanship without ostentation. Boutique-only, it reflects Vacheron's quiet mastery.","Movement: Automatic Calibre 1120 QP/1 (~40h reserve, Geneva Seal; 276 parts, 36 jewels, 2.75Hz, 4.05mm thick); Case: 41 mm 18K pink gold, 8.9mm thick; Dial: Silver-toned opaline or blue sunburst with day/date/month/subdials, moonphase; Strap: Dark blue or brown alligator leather with 18K pink gold folding clasp; Water Resistance: 30 m",VC43175.webp,
14,43172 Perpetual Calendar,2,5,"155,000","Balancing heritage and complexity, the 43172 (Ref: 43172/000P-B190 platinum) embodies the timeless spirit of the Patrimony collection. Housed in a 41 mm platinum case, it features a classic opaline dial displaying day, date, month, leap year, and moonphase—all powered by the ultra-thin Caliber 1120 QP. With just 4.05 mm of movement thickness and Geneva Seal finishing, it represents the pinnacle of Vacheron’s understated mastery. Elegant, collectible, and boutique-exclusive.","Movement: Automatic VC Caliber 1120 QP (~40h reserve, Geneva Seal);Case: 41 mm platinum, ~8.96 mm thick;Dial: Opaline with calendar subdials and moonphase;Strap: Black alligator;Water Resistance: 30 m",VC43172.png,
15,Retrograde Day-Date,2,5,"63,000","The Retrograde Day-Date spices up the Patrimony line with twin fan-shaped arcs for day and date, creating a visually distinctive dial without sacrificing elegance. Encased in warm pink gold, it strikes a balance between classical cues and technical playfulness. Whether you’re drawn to its artistic layout or mechanical novelty, it’s a refreshing take on the modern dress watch—both cerebral and beautiful.","Movement: Automatic Caliber 2460 R31R7 (retrograde day and date, ~40h reserve); Case: 42.5 mm 18k pink gold; Dial: Silvered opaline, retrograde day scale at top, retrograde date at bottom; Strap: Brown alligator leather; Water Resistance: 30 m",VCretrograde.png,
16,4500V Overseas,2,6,Price on request,"Effortlessly blending ruggedness with refinement, the Overseas 41 mm is a steel sports watch with haute horlogerie credentials. Its sunburst blue dial is framed by a notched bezel, and the quick-release strap system adds versatile flair. Water-resistant to 150 meters and Geneva Seal certified, it’s a rare watch that can handle both cocktails and coastline with equal ease.","Movement: Automatic VC Caliber 5100 (60h reserve, Geneva Hallmark); Case: 41 mm stainless steel, screw-down crown; Dial: Sunburst blue, luminous hour markers, date at 3; Bracelet/Strap: Interchangeable (steel bracelet + blue rubber & leather straps); Water Resistance: 150 m",VC4500V.png,
17,Overseas Chronograph,2,6,"63,000","The Overseas Chronograph is a full-size 42.5 mm statement piece, housing an in-house column-wheel chronograph and finished to Geneva Seal standards. With three crisp subdials and a date tucked between 4 and 5, it balances complexity with legibility. Whether worn on steel, leather, or rubber, it’s a high-performance tool with dress watch polish—a rare hybrid that truly excels.","Movement: Automatic Caliber 5200 (column-wheel chronograph, 52h reserve, Geneva Seal); Case: 42.5 mm stainless steel, 13.7 mm thick; Dial: Silver or blue, 3 chronograph subdials (30-min, 12-hr, small seconds), date between 4 & 5; Bracelet/Strap: Interchangeable steel bracelet and straps; Water Resistance: 150 m",VC5500V.png,
18,6000V Overseas Tourbillon,2,6,Price on request,"A contemporary masterpiece from the Overseas collection, the Vacheron Constantin Overseas Tourbillon (Ref. 6000V/210T-H032) blends the sport-luxury aesthetic with haute horlogerie excellence. Housed in a 42.5 mm grade 5 titanium case and measuring only 10.39 mm thick, it features a vibrant blue sunburst dial with a prominent tourbillon aperture at 6 o’clock. The watch is equipped with an interchangeable strap system and arrives with a titanium bracelet, blue rubber, and leather straps for versatile wear. Lightweight, elegant, and technically accomplished, it exemplifies modern refinement. Boutique-exclusive and produced in limited quantities.","Movement: Automatic Caliber 2160 (ultra-thin tourbillon, 80h reserve, Geneva Seal); Case: 42.5 mm grade 5 titanium, 10.39 mm thick; Dial: Blue sunburst with tourbillon aperture at 6; Strap: Interchangeable system (titanium bracelet, blue rubber, and leather); Water Resistance: 50 m",VC6000V.webp,
19,American 1921,2,7,"85,000","Inspired by a 1920s driving watch, the American 1921 is delightfully unconventional. With a cushion case and diagonal dial layout, it was made for reading time with one hand on the wheel. Manual-winding and vintage in soul, it’s a love letter to the Art Deco age with just the right amount of eccentricity. History meets horology in the most elegant way.","Movement: Manual Caliber 4400 AS (65h reserve, Geneva Seal); Case: 40 mm 18k white or rose gold, cushion-shaped; Dial: Off-white/cream, black Arabic numerals rotated 45°, small seconds at 4 o’clock; Strap: Brown or burgundy alligator; Water Resistance: 30 m",VCAmerican1921.png,
20,Cornes de Vache 1955,2,7,"123,000","A beloved modern classic, the Cornes de Vache 1955 Ref. 5000H/000P-B058 revives Vacheron Constantin’s first water-resistant chronograph from the mid-20th century. Named after its signature “cow horn” lugs, this 38.5 mm piece features a hand-wound Caliber 1142 with column-wheel chronograph architecture. The opaline dial with blued hands, vintage subdials, and tachymeter scale oozes heritage charm. A refined balance between elegance and functionality, it stands as one of the most coveted neo-vintage chronographs on the market.","Movement: Manual Caliber 1142 (column-wheel chronograph, ~48h reserve, Geneva Seal); Case: 38.5 mm platinum or stainless steel; Dial: Opaline with two subdials (30-min chronograph and small seconds), blued chronograph hands, tachymeter scale around edge; Strap: Black or brown alligator; Water Resistance: 30 m",VCcornesdevache.png,
21,Triple Calendrier 1942,2,7,"40,000","The Triple Calendrier 1942 Ref. 3110V/000A-B426 offers a faithful reissue of Vacheron’s 1940s triple calendar, now with a modern manual-wind Caliber 4400 QC and 40 mm stainless steel case. With tear-drop lugs, red-tipped date hand, and two-tone silver dial, it merges 20th-century design with 21st-century precision in limited numbers.","Movement: Manual Caliber 4400 QC (calendar module, ~65h reserve); Case: 40 mm stainless steel; Dial: Two-tone silver, blue Arabic numerals, day and month in windows, date indicated by red-tipped hand around the dial; Strap: Brown calfskin; Water Resistance: 30 m",VC1942.png,
22,Copernicus Celestial Spheres,2,8,Price on request,"A poetic marvel, the Copernicus Celestial Spheres 2460 RT honors heliocentrism with a mesmerizing enamel and engraved dial depicting planetary orbits. Time is read from rotating peripheral indicators, allowing Copernicus’s sun-centered universe to shine. Housed in a 43 mm 18K gold case, it contains the automatic Caliber 2460 RT. An astronomical tribute merging fine art and horology, limited in number and unmatched in artistry.",Movement: Automatic in-house (Caliber 2460 RT) with rotating celestial indicator; Case: 43 mm 18k gold; Dial: Grand Feu enamel and hand-engraving depicting planetary orbits and constellations; Display: Hours and minutes via peripheral indicators (to not obscure art); Others: Each piece hallmarked and unique artwork,VCcopernicus.png,
23,Les Aérostiers,2,8,Price on request,"The Métiers d’Art Les Aérostiers celebrates 18th-century ballooning with exquisite plique-à-jour enamel hot air balloons in 3D relief. Each 40 mm gold case holds a unique dial with engraving and guilloché, time shown via wandering discs to preserve the scenery. With extremely limited production, each is a wearable sculpture powered by an in-house automatic caliber.","Movement: Automatic in-house caliber with unconventional time display (e.g., sliding digital hours, minutes on disc); Case: ~40 mm 18k gold; Dial: Handcrafted gold balloon in translucent enamel, finely engraved landscapes; Display: Artistic (no traditional hands; uses apertures or peripheral scales); Other: Each model limited to a few pieces",VCaerostiers.png,
24,6007A Scorpio Celestial,2,8,Price on request,"A masterpiece from Vacheron Constantin’s Métiers d’Art collection, this 39mm white-gold timepiece celebrates Scorpio through a meticulously hand‑guilloché zodiac motif and its constellation. Brilliant-cut diamonds mark key stars, while rich blue enamel and precisely set baguette-cut sapphires (≈3.87ct across bezel, lugs, crown & buckle) frame the dial. The geometric ribbed white‑gold indexes and sword‑shaped hands echo the artistry beneath. Each dial’s creation—selecting design, engraving, varnish, gem‑setting—reflects an uncompromising commitment to tradition and high crafts. Boutique‑exclusive and engineered as wearable haute horlogerie art.","Movement: Calibre 2160 – a self‑winding ultra‑thin tourbillon movement (188 components, 5.65mm thick), beating at 2.5Hz (18,000vph), offering an 80‑hour power reserve via a solid 22K gold peripheral rotor. Central hours and minutes hands are complemented by a small‑seconds indicator on the Maltese‑cross‑shaped tourbillon carriage. Finishing includes perlage, Côtes de Genève bridges, chamfered screws, and Geneva Seal certification.",VC6007A.webp,
25,Celestia Astronomical,2,9,Price on request,"A one-of-a-kind double-sided wristwatch boasting 23 astronomical complications (sunrise/sunset, equation of time, perpetual calendar, celestial chart, moon phases, tide level, etc.). Released in 2017 as a bespoke piece, it required several years of development. Housed in a 45 mm white gold case only 13.6 mm thick – a triumph of miniaturization. The Celestia exemplifies VC’s pinnacle bespoke watchmaking in the Cabinotiers department.","Movement: In-house Caliber 3600 (manual, 3 weeks power reserve with 6 barrels); Case: 45 mm 18k white gold, double-sided dials; Complications: 23 functions incl. perpetual calendar, equation of time, times of sunrise/sunset, sky chart, sidereal time, indications for solstices and equinoxes, etc.; Strap: Black alligator; Unique piece (2017)",VCcelestia.png,
26,Symphonia Grande Sonnerie,2,9,Price on request,"Vacheron’s first ever grande sonnerie wristwatch (also with petite sonnerie and minute repeater) delivered through Cabinotiers in 2017. This unique piece chimes the hours and quarters automatically (or on demand) with exceptional acoustic engineering. Despite housing one of the most complex striking mechanisms, the watch maintains classic styling in a 45 mm gold case. Represents an extraordinary feat of high watchmaking and chiming innovation. Piece-unique.","Movement: Manual Caliber 1860 (gran&petite sonnerie + minute repeater, ~72h reserve); Case: 45 mm 18k white gold; Functions: Automatic hour/quarter striking (selectable silence), on-demand minute repeater, power reserve indicators for striking and movement; Dial: Silvered with small seconds and power reserve subdials; Unique piece (Cabinotiers commission)",VCsymphonia.png,
27,“Phoenix” Minute Repeater Tourbillon,2,9,Price on request,"An example of a one-off Cabinotiers creation: a highly complicated watch (tourbillon + minute repeater) with extraordinary artisanal decoration. The “Phoenix” features a hand-engraved case depicting phoenix motifs in relief, often accented with enamel or gem-setting. Such a piece demonstrates VC’s ability to create singular works blending technical complication (e.g., flying tourbillon, repeater) with exquisite métiers d’art. Unique commission, not part of regular production.","Movement: One-off manual caliber integrating minute repeater and tourbillon; Case: ~44–45 mm 18k gold, fully hand-engraved with phoenix design; Dial: Possibly skeletonized or enamelled to complement theme (open view of tourbillon); Functions: Hours, minutes, tourbillon regulator, minute repeater (cathedral gongs); Note: Unique personalized creation by Les Cabinotiers",VCphoenix.png,
28,“Jumbo” Extra-Thin 16202ST,3,10,"121,000","An icon reborn for its 50th anniversary, the 16202ST is the spiritual successor to the original 1972 Royal Oak. Crafted in stainless steel with the legendary octagonal bezel and “Petite Tapisserie” blue dial, this 39 mm masterpiece honors Gérald Genta’s vision in purest form. Now powered by the next-generation Caliber 7121, it remains impossibly slim and effortlessly timeless—every detail whispering prestige, heritage, and scarcity.","Movement: Automatic Caliber 7121 (extra-thin, 55h reserve); Case: 39 mm stainless steel, 8.1 mm thick; Dial: Blue Petite Tapisserie pattern, white gold hour markers, date at 3; Bracelet: Integrated steel bracelet with AP folding clasp; Water Resistance: 50 m",AP16202ST.png,
29,Selfwinding Chronograph 41,3,10,62000,"Bold yet balanced, the 41 mm Royal Oak Chronograph blends technical depth with unmistakable Royal Oak design. Framed by the signature octagonal bezel, the dial reveals a rich Grande Tapisserie texture, punctuated by subdials and a date aperture. Inside beats a column-wheel chronograph, marrying mechanical precision with daily practicality. It's a commanding presence for those who seek complexity wrapped in classic steel sculpture.","Movement: Automatic Caliber 2385 (column-wheel chronograph, 40h reserve); Case: 41 mm stainless steel, 11 mm thick; Dial: Grande Tapisserie pattern (blue/black/white), 3 chronograph subdials, date at 4:30; Bracelet: Integrated steel; Water Resistance: 50 m",AP26331.png,
30,Perpetual Calendar,3,10,"185,000","Elegance meets eternity in the Royal Oak Perpetual Calendar. This 41 mm marvel unites Haute Horlogerie and iconic design, offering day, date, month, moonphase, leap year, and even week of the year—artfully arranged on a richly textured dial. Powered by the ultra-thin Caliber 5134, it is impossibly slim for its mechanical ambition. A poetic expression of time’s passage, housed within a design that redefined modern watchmaking.","Movement: Automatic Caliber 5134 (ultra-thin perpetual calendar, 40h reserve); Case: 41 mm in steel or 18k gold, 9.5 mm thick; Dial: Tapisserie with four subdials (day, date, month with leap year, moonphase) + week indicator scale on outer chapter; Bracelet: Integrated matching metal bracelet; Water Resistance: 20 m",AP26574.jpg,
31,Offshore “The Beast” (1993),3,11,"88,000","Audemars Piguet’s original rebel, the Offshore “Beast” shattered norms when it roared onto wrists in 1993. Its 42 mm steel case, rubber-clad pushers, and Méga Tapisserie dial redefined boldness in high horology. Dubbed “The Beast” for its aggressive size and attitude, it marked the dawn of a new era—bigger, louder, and unapologetically audacious. Now a legend, it remains a cornerstone of contemporary sport-luxury.","Movement: Automatic Caliber 2126/2840 (based on JLC 889, modular chronograph, ~42h reserve); Case: 42 mm stainless steel, ~15 mm thick, rubber-clad screw-down crown & pushers; Dial: Blue Méga Tapisserie, 3 subdials (chronograph), date at 3; Strap: Stainless steel bracelet (early models) or rubber/leather; Water Resistance: 100 m",AP25721.png,
32,Offshore Diver,3,11,"53,000","Where form meets function at 300 meters, the Offshore Diver is the embodiment of utility clad in Royal Oak armor. Its 42 mm case frames a vivid Méga Tapisserie dial, with an internal rotating bezel operated via an additional crown—designed for precise underwater timing. Crafted in steel with color-matched rubber straps, it transforms tool-watch functionality into a modern design statement, uncompromising in both aesthetics and performance.","Movement: Automatic Caliber 3120 (time and date, 60h reserve) in later models Caliber 4308; Case: 42 mm stainless steel, sapphire display back, screw-down crowns; Dial: Méga Tapisserie pattern, prominent lumed markers, rotating inner bezel for dive timing; Strap: Rubber strap with AP pin buckle (color-matched to dial); Water Resistance: 300 m",AP15710.png,
33,Offshore Chronograph,3,11,"85,000","The evolution of AP’s most daring line, the modern Offshore Chronograph channels raw energy into refined construction. Its 42 mm case hosts a dramatic dial layered with subdials, bold indices, and that signature Méga Tapisserie texture. The rubber-clad crown and pushers amplify its tactile toughness, while the movement within delivers robust performance. Whether forged in steel, ceramic, or carbon, this is power dressing for the modern iconoclast.","Movement: Automatic Caliber 3126/3840 (base cal 3120 + Dubois-Depraz chronograph module, ~50h); Case: 42 mm stainless steel (or other materials), rubber-clad crown and pushers; Dial: Méga Tapisserie, 3 chronograph subdials, date at 3 (magnified); Strap: Rubber or leather with tang buckle; Water Resistance: 100 m",AP26470.png,
34,Concept (2002),3,12,Price on request,"Audemars Piguet’s boldest vision debuted in 2002: the Royal Oak Concept. Designed for the 30th anniversary of the Royal Oak, this titanium marvel fused mechanical ingenuity with futuristic form. With its sculpted asymmetrical case, exposed bridges, and groundbreaking dynamograph torque indicator, it redefined what a mechanical watch could express. Revered by collectors, the 2002 Concept is more than a timepiece—it’s a modernist manifesto in titanium.","Movement: Hand-wound Caliber 2896 (tourbillon, 70h reserve, dynamograph torque indicator, function selector); Case: 44 mm titanium, unique shape with protruding crown guard; Dial: Openworked, tourbillon at 9 o’clock, linear power reserve gauge at 12, function selector at 6; Strap: Kevlar/Nylon strap (original); Water Resistance: 50 m",APconcept2002.webp,
35,Concept Flying Tourbillon GMT,3,12,Price on request,"A study in architectural tension and lightness, the Concept Flying Tourbillon GMT (Ref. 26589IO circa 2018) combines a titanium frame with a black ceramic bezel and 10-day power reserve. The skeletonized dial reveals a flying tourbillon and 3D GMT globe with day/night indicator—each element layered like a futuristic sculpture. Visceral, sharp-edged, and unapologetically avant-garde, this is AP’s design lab on full display.","Movement: Hand-wound Caliber 2954 (flying tourbillon, second time zone with day/night indicator, ~10d power reserve); Case: 44 mm titanium, black ceramic octagonal bezel; Dial: Openworked, tourbillon at 9, GMT globe and 24-hour disc at 3, skeletal bridges; Strap: Black rubber strap; Water Resistance: 100 m",AP26589.webp,
36,Concept “Black Panther” Flying Tourbillon,3,12,Price on request,"A 2021 limited edition (250 pieces) co-designed with Marvel. 42 mm titanium case with a sculpted Black Panther character in hand-painted white gold on the dial. Equipped with a flying tourbillon at 6 o’clock. The design merges comic book art with haute horlogerie, featuring purple accents and futuristic aesthetics. Caused a sensation upon release for its unexpected collaboration and highly detailed craftsmanship. All pieces sold out immediately.","Movement: Hand-wound Caliber 2965 (flying tourbillon, 72h reserve); Case: 42 mm titanium, black ceramic bezel; Dial: 3D hand-sculpted and painted Black Panther figure in gold, flying tourbillon at 6, no traditional hour markers (hands tell time against the figure); Strap: Purple rubber strap; Water Resistance: 50 m",APblackpanther.png,
37,Tribute Small Seconds,4,13,Price on request,"A modern homage to the original 1930s Reverso, featuring a clean Art Deco design. Rectangular 45.6 × 27.4 mm case in stainless steel, manual wind movement. Front dial is a sunray blue (or other colors in variants) with small seconds at 6. The case flips over (empty metal back for personalization or display of movement in some versions). Embodies JLC’s classic elegance and the Reverso’s sporting origin (designed for polo players).","Movement: Manual Caliber 822/2 (~45h reserve); Case: 45.6 × 27.4 mm stainless steel, reversible; Dial: Blue sunray (Tribute model), applied indices, small seconds subdial at 6; Strap: Fagliano Collection blue leather (for Tribute edition); Water Resistance: 30 m",JLCtribute.png,
38,DuoFace Classic,4,13,Price on request,"Iconic double-sided Reverso offering two dials for dual time zones. The front dial shows the home time (classic design, often silver guilloché), while the case flips to reveal a second dial (usually black or contrasting) with a second time zone and day/night indicator. Housed in a medium or large rectangular case. Manual movement driving both faces. A signature JLC innovation combining elegance and practicality. Current production model in the Reverso Classic Duoface line.","Movement: Manual Caliber 854A/2 (dual time, 2 dial outputs, ~42h reserve); Case: ~47 × 28 mm stainless steel (Large size example), reversible; Dial: Front – silvered with central guilloché, black numerals; Reverse – black with Clous de Paris texture, second timezone hours/minutes and 24h indicator; Strap: Black or brown leather; Water Resistance: 30 m",JLCduoface.png,
39,Gyrotourbillon 2,4,13,Price on request,"A haute complication Reverso introduced in 2008, showcasing JLC’s multi-axis “Gyrotourbillon.” The oversized Reverso case (55 × 36 mm in platinum) houses a spherical tourbillon that rotates in multiple axes for improved timekeeping precision. The dial features a partial skeletonization, with a separate subdial for the time and a 50-hour power reserve indicator. This remarkable piece marries the Reverso’s reversible case concept with one of watchmaking’s most mesmerizing complications. Extremely limited production.","Movement: Manual Caliber 174 (double-axis Gyrotourbillon, 50h reserve); Case: 55 × 36 mm platinum, reversible (Gyrotourbillon visible on one side, time display on the other); Dial: Skeletonized elements, main dial with blued hands for hours/minutes, seconds on tourbillon cage, power reserve indicator; Strap: Black alligator; Water Resistance: 30 m",JLCgyro.png,
40,Moon,4,14,Price on request,A refined dress watch featuring a moonphase and date in JLC’s Master Ultra Thin line. 39 mm stainless steel case with a clean silvered dial. The moonphase display and pointer date are positioned at 6 o’clock. Powered by a slim automatic movement. Balances complication and elegance in an ultra-thin profile that slides easily under a cuff. One of JLC’s most popular contemporary dress models. Current production.,"Movement: Automatic Caliber 925/1 (moonphase, date, ~43h reserve); Case: 39 mm stainless steel, 9.9 mm thick; Dial: Silvered sunray, applied indices, aperture at 6 with moonphase and crescent date hand; Strap: Black alligator with deployant clasp; Water Resistance: 50 m",JLCmoon.png,
41,Perpetual Calendar,4,14,Price on request,"An ultra-thin perpetual calendar housed in a 39 mm Master case (examples in stainless steel or gold). Displays day, date, month, moonphase, and year without the need for adjustment until 2100. Despite the complexity, the watch is only about 9.2 mm thick, showcasing JLC’s engineering. The dial layout is balanced with three subdials and a year window. Renowned as one of the most value-driven perpetual calendars in high horology. Current model (various metals).","Movement: Automatic Caliber 868/1 (perpetual calendar, 38h reserve); Case: 39 mm stainless steel (or pink gold), ~9.2 mm thick; Dial: White or silvered, day at 9, month and year at 12, date and moonphase at 3, leap year indicator; Strap: Brown or black alligator; Water Resistance: 50 m",JLCperpetual.png,
